+---------------------------------------------------------------+----------+------+------+-------+---------+
| name                                                          | calories | fat  | carb | fiber | protein |
| Chicken McNuggets (40 piece)                                  |     1880 |  118 |  118 |     6 |      87 |
| Filet-O-Fish                                                  |      390 |   19 |   39 |     2 |      15 |
| Premium Bacon Ranch Salad (without Chicken)                   |      140 |    7 |   10 |     3 |       9 |
| Premium Bacon Ranch Salad with Crispy Chicken                 |      380 |   21 |   22 |     2 |      25 |
| Premium Bacon Ranch Salad with Grilled Chicken                |      220 |    8 |    8 |     2 |      29 |
| Premium Southwest Salad (without Chicken)                     |      140 |    5 |   20 |     6 |       6 |
| Premium Southwest Salad with Crispy Chicken                   |      450 |   22 |   42 |     7 |      23 |
| Premium Southwest Salad with Grilled Chicken                  |      290 |    8 |   28 |     7 |      27 |
| Chipotle BBQ Snack Wrap (Crispy Chicken)                      |      340 |   15 |   37 |     1 |      14 |
| Chipotle BBQ Snack Wrap (Grilled Chicken)                     |      260 |    8 |   30 |     1 |      16 |
| Honey Mustard Snack Wrap (Crispy Chicken)                     |      330 |   15 |   34 |     1 |      14 |
| Honey Mustard Snack Wrap (Grilled Chicken)                    |      250 |    8 |   27 |     1 |      16 |
| Ranch Snack Wrap (Crispy Chicken)                             |      360 |   20 |   32 |     1 |      15 |
| Ranch Snack Wrap (Grilled Chicken)                            |      280 |   13 |   25 |     1 |      16 |
| Small French Fries                                            |      230 |   11 |   30 |     2 |       2 |
| Medium French Fries                                           |      340 |   16 |   44 |     4 |       4 |
| Large French Fries                                            |      510 |   24 |   67 |     5 |       6 |
| Kids French Fries                                             |      110 |    5 |   15 |     1 |       1 |
| Side Salad                                                    |       20 |    0 |    4 |     1 |       1 |
| Apple Slices                                                  |       15 |    0 |    4 |     0 |       0 |
| Fruit 'n Yogurt Parfait                                       |      150 |    2 |   30 |     1 |       4 |
| Baked Apple Pie                                               |      250 |   13 |   32 |     4 |       2 |
| Chocolate Chip Cookie                                         |      160 |    8 |   21 |     1 |       2 |
| Oatmeal Raisin Cookie                                         |      150 |    6 |   22 |     1 |       2 |
| Kids Ice Cream Cone                                           |       45 |    2 |    7 |     0 |       1 |
| Hot Fudge Sundae                                              |      330 |    9 |   53 |     1 |       8 |
| Hot Caramel Sundae                                            |      340 |    8 |   60 |     0 |       7 |
| Strawberry Sundae                                             |      280 |    6 |   49 |     0 |       6 |
| Coca-Cola Classic (Small)                                     |      140 |    0 |   39 |     0 |       0 |
| Coca-Cola Classic (Medium)                                    |      200 |    0 |   55 |     0 |       0 |
| Coca-Cola Classic (Large)                                     |      280 |    0 |   76 |     0 |       0 |
| Coca-Cola Classic (Child)                                     |      100 |    0 |   28 |     0 |       0 |
| Diet Coke (Small)                                             |        0 |    0 |    0 |     0 |       0 |
| Diet Coke (Medium)                                            |        0 |    0 |    0 |     0 |       0 |
| Diet Coke (Large)                                             |        0 |    0 |    0 |     0 |       0 |
| Diet Coke (Child)                                             |        0 |    0 |    0 |     0 |       0 |
| Dr Pepper (Small)                                             |      140 |    0 |   37 |     0 |       0 |
| Dr Pepper (Medium)                                            |      190 |    0 |   53 |     0 |       0 |
| Dr Pepper (Large)                                             |      270 |    0 |   72 |     0 |       0 |
| Dr Pepper (Child)                                             |      100 |    0 |   27 |     0 |       0 |
| Diet Dr Pepper (Small)                                        |        0 |    0 |    0 |     0 |       2 |
| Diet Dr Pepper (Medium)                                       |        0 |    0 |    0 |     0 |       3 |
| Diet Dr Pepper (Large)                                        |        0 |    0 |    0 |     0 |       4 |
| Diet Dr Pepper (Child)                                        |        0 |    0 |    0 |     0 |       1 |
| Sprite (Small)                                                |      140 |    0 |   37 |     0 |       0 |
| Sprite (Medium)                                               |      200 |    0 |   54 |     0 |       0 |
| Sprite (Large)                                                |      280 |    0 |   74 |     0 |       0 |
| Sprite (Child)                                                |      100 |    0 |   27 |     0 |       0 |
| 1% Low Fat Milk Jug                                           |      100 |    3 |   12 |     0 |       8 |
| Fat Free Chocolate Milk Jug                                   |      130 |    0 |   23 |     1 |       9 |
| Minute Maid 100% Apple Juice Box                              |       80 |    0 |   21 |     0 |       0 |
| Minute Maid Orange Juice (Small)                              |      150 |    0 |   34 |     0 |       2 |
| Minute Maid Orange Juice (Medium)                             |      190 |    0 |   44 |     0 |       3 |
| Minute Maid Orange Juice (Large)                              |      280 |    0 |   65 |     0 |       4 |
| Dasani Water Bottle                                           |        0 |    0 |    0 |     0 |       0 |
| Iced Tea (Small)                                              |        0 |    0 |    0 |     0 |       0 |
| Iced Tea (Medium)                                             |        0 |    0 |    0 |     0 |       0 |
| Iced Tea (Large)                                              |        0 |    0 |    0 |     0 |       0 |
| Iced Tea (Child)                                              |        0 |    0 |    0 |     0 |       0 |
| Sweet Tea (Small)                                             |      150 |    0 |   36 |     0 |       1 |
| Sweet Tea (Medium)                                            |      180 |    0 |   45 |     0 |       1 |
| Sweet Tea (Large)                                             |      220 |    0 |   54 |     0 |       1 |
| Sweet Tea (Child)                                             |      110 |    0 |   27 |     0 |       0 |
| Coffee (Small)                                                |        0 |    0 |    0 |     0 |       0 |
| Coffee (Medium)                                               |        0 |    0 |    0 |     0 |       0 |
| Coffee (Large)                                                |        0 |    0 |    0 |     0 |       0 |
| Latte (Small)                                                 |      170 |    9 |   15 |     1 |       9 |
| Latte (Medium)                                                |      210 |   10 |   18 |     1 |      11 |
| Latte (Large)                                                 |      280 |   14 |   24 |     1 |      15 |
| Caramel Latte (Small)                                         |      270 |    9 |   40 |     1 |       9 |
| Caramel Latte (Medium)                                        |      340 |   10 |   50 |     1 |      11 |
| Caramel Latte (Large)                                         |      430 |   14 |   62 |     1 |      15 |
| Hazelnut Latte (Small)                                        |      270 |    9 |   40 |     1 |       9 |
| Hazelnut Latte (Medium)                                       |      330 |   10 |   50 |     1 |      11 |
| Hazelnut Latte (Large)                                        |      430 |   14 |   62 |     1 |      15 |
| French Vanilla Latte (Small)                                  |      260 |    9 |   38 |     1 |       9 |
| French Vanilla Latte (Medium)                                 |      330 |   10 |   48 |     1 |      11 |
| French Vanilla Latte (Large)                                  |      420 |   14 |   60 |     1 |      15 |
| Latte with Sugar Free French Vanilla Syrup (Small)            |      210 |    9 |   24 |     1 |       9 |
| Latte with Sugar Free French Vanilla Syrup (Medium)           |      260 |   10 |   29 |     1 |      12 |
| Latte with Sugar Free French Vanilla Syrup (Large)            |      330 |   14 |   37 |     2 |      15 |
| Nonfat Latte (Small)                                          |      100 |    0 |   15 |     1 |      10 |
| Nonfat Latte (Medium)                                         |      130 |    0 |   19 |     1 |      12 |
| Nonfat Latte (Large)                                          |      170 |    1 |   25 |     1 |      16 |
| Nonfat Caramel Latte (Small)                                  |      200 |    0 |   41 |     1 |      10 |
| Nonfat Caramel Latte (Medium)                                 |      250 |    0 |   51 |     1 |      12 |
| Nonfat Caramel Latte (Large)                                  |      310 |    1 |   63 |     1 |      16 |
| Nonfat Hazelnut Latte (Small)                                 |      200 |    0 |   40 |     1 |      10 |
| Nonfat Hazelnut Latte (Medium)                                |      250 |    0 |   51 |     1 |      12 |
| Nonfat Hazelnut Latte (Large)                                 |      310 |    1 |   63 |     1 |      16 |
| Nonfat French Vanilla Latte (Small)                           |      190 |    0 |   39 |     1 |      10 |
| Nonfat French Vanilla Latte (Medium)                          |      240 |    0 |   49 |     1 |      12 |
| Nonfat French Vanilla Latte (Large)                           |      300 |    1 |   60 |     1 |      16 |
| Nonfat Latte with Sugar Free French Vanilla Syrup (Small)     |      140 |    0 |   24 |     1 |      10 |
| Nonfat Latte with Sugar Free French Vanilla Syrup (Medium)    |      170 |    0 |   30 |     1 |      12 |
| Nonfat Latte with Sugar Free French Vanilla Syrup (Large)     |      220 |    1 |   38 |     2 |      16 |
| Mocha (Small)                                                 |      340 |   11 |   49 |     2 |      10 |
| Mocha (Medium)                                                |      410 |   14 |   60 |     2 |      13 |
| Mocha (Large)                                                 |      500 |   17 |   72 |     2 |      16 |
| Mocha with Nonfat Milk (Small)                                |      270 |    4 |   49 |     2 |      11 |
| Mocha with Nonfat Milk (Medium)                               |      330 |    4 |   60 |     2 |      13 |
| Mocha with Nonfat Milk (Large)                                |      390 |    4 |   73 |     2 |      17 |
| Caramel Mocha (Small)                                         |      320 |   11 |   45 |     1 |      10 |
| Caramel Mocha (Medium)                                        |      390 |   14 |   55 |     1 |      12 |
| Caramel Mocha (Large)                                         |      480 |   17 |   66 |     1 |      16 |
| Nonfat Caramel Mocha (Small)                                  |      250 |    4 |   45 |     1 |      10 |
| Nonfat Caramel Mocha (Medium)                                 |      310 |    4 |   56 |     1 |      13 |
| Nonfat Caramel Mocha (Large)                                  |      370 |    4 |   67 |     1 |      17 |
| Hot Chocolate (Small)                                         |      360 |   13 |   50 |     1 |      11 |
| Hot Chocolate (Medium)                                        |      440 |   16 |   61 |     1 |      14 |
| Hot Chocolate (Large)                                         |      540 |   20 |   73 |     1 |      17 |
| Hot Chocolate with Nonfat Milk (Small)                        |      280 |    4 |   50 |     1 |      12 |
| Hot Chocolate with Nonfat Milk (Medium)                       |      340 |    4 |   61 |     1 |      14 |
| Hot Chocolate with Nonfat Milk (Large)                        |      400 |    4 |   74 |     1 |      19 |
| Regular Iced Coffee (Small)                                   |      140 |    5 |   23 |     0 |       1 |
| Regular Iced Coffee (Medium)                                  |      190 |    7 |   31 |     0 |       1 |
| Regular Iced Coffee (Large)                                   |      270 |    9 |   47 |     0 |       2 |
| Caramel Iced Coffee (Small)                                   |      130 |    5 |   22 |     0 |       1 |
| Caramel Iced Coffee (Medium)                                  |      180 |    7 |   29 |     0 |       1 |
| Caramel Iced Coffee (Large)                                   |      260 |    9 |   43 |     0 |       2 |
| Hazelnut Iced Coffee (Small)                                  |      130 |    5 |   21 |     0 |       1 |
| Hazelnut Iced Coffee (Medium)                                 |      180 |    7 |   29 |     0 |       1 |
| Hazelnut Iced Coffee (Large)                                  |      250 |    9 |   43 |     0 |       2 |
| French Vanilla Iced Coffee (Small)                            |      120 |    5 |   20 |     0 |       1 |
| French Vanilla Iced Coffee (Medium)                           |      170 |    7 |   27 |     0 |       1 |
| French Vanilla Iced Coffee (Large)                            |      240 |    9 |   41 |     0 |       2 |
| Iced Coffee with Sugar Free French Vanilla Syrup (Small)      |       80 |    5 |    9 |     0 |       1 |
| Iced Coffee with Sugar Free French Vanilla Syrup (Medium)     |      120 |    7 |   12 |     0 |       1 |
| Iced Coffee with Sugar Free French Vanilla Syrup (Large)      |      160 |    9 |   18 |     0 |       2 |
| Iced Mocha (Small)                                            |      290 |   11 |   41 |     1 |       8 |
| Iced Mocha (Medium)                                           |      350 |   13 |   50 |     1 |       9 |
| Iced Mocha (Large)                                            |      480 |   16 |   70 |     2 |      14 |
| Iced Mocha with Nonfat Milk (Small)                           |      240 |    5 |   41 |     1 |       8 |
| Iced Mocha with Nonfat Milk (Medium)                          |      290 |    5 |   50 |     1 |      10 |
| Iced Mocha with Nonfat Milk (Large)                           |      390 |    6 |   71 |     2 |      14 |
| Iced Caramel Mocha (Small)                                    |      280 |   11 |   38 |     0 |       8 |
| Iced Caramel Mocha (Medium)                                   |      340 |   13 |   46 |     1 |       9 |
| Iced Caramel Mocha (Large)                                    |      460 |   16 |   65 |     1 |      13 |
| Iced Nonfat Caramel Mocha (Small)                             |      230 |    5 |   38 |     0 |       8 |
| Iced Nonfat Caramel Mocha (Medium)                            |      270 |    5 |   47 |     1 |      10 |
| Iced Nonfat Caramel Mocha (Large)                             |      370 |    6 |   65 |     1 |      14 |
| Frappé Mocha (Small)                                          |      450 |   18 |   65 |     1 |       7 |
| Frappé Mocha (Medium)                                         |      550 |   22 |   80 |     1 |       9 |
| Frappé Mocha (Large)                                          |      670 |   26 |   98 |     1 |      11 |
| Frappé Caramel (Small)                                        |      450 |   19 |   64 |     0 |       7 |
| Frappé Caramel (Medium)                                       |      550 |   23 |   79 |     0 |       9 |
| Frappé Caramel (Large)                                        |      670 |   27 |   96 |     0 |      11 |
| Frappé Chocolate Chip (Small)                                 |      530 |   23 |   76 |     1 |       8 |
| Frappé Chocolate Chip (Medium)                                |      630 |   26 |   91 |     1 |       9 |
| Frappé Chocolate Chip (Large)                                 |      760 |   31 |  111 |     1 |      12 |
| Blueberry Pomegranate Smoothie (Small)                        |      220 |    1 |   50 |     3 |       2 |
| Blueberry Pomegranate Smoothie (Medium)                       |      260 |    1 |   62 |     4 |       3 |
| Blueberry Pomegranate Smoothie (Large)                        |      340 |    1 |   79 |     5 |       4 |
| Strawberry Banana Smoothie (Small)                            |      210 |    1 |   47 |     3 |       3 |
| Strawberry Banana Smoothie (Medium)                           |      250 |    1 |   58 |     3 |       4 |
| Strawberry Banana Smoothie (Large)                            |      330 |    1 |   74 |     4 |       5 |
| Mango Pineapple Smoothie (Small)                              |      210 |    1 |   50 |     1 |       2 |
| Mango Pineapple Smoothie (Medium)                             |      260 |    1 |   61 |     1 |       3 |
| Mango Pineapple Smoothie (Large)                              |      340 |    1 |   78 |     2 |       4 |
| Vanilla Shake (Small)                                         |      530 |   15 |   86 |     0 |      11 |
| Vanilla Shake (Medium)                                        |      660 |   19 |  109 |     0 |      14 |
| Vanilla Shake (Large)                                         |      820 |   23 |  135 |     0 |      18 |
| Strawberry Shake (Small)                                      |      550 |   16 |   90 |     0 |      12 |
| Strawberry Shake (Medium)                                     |      690 |   20 |  114 |     0 |      15 |
| Strawberry Shake (Large)                                      |      850 |   24 |  140 |     0 |      18 |
| Chocolate Shake (Small)                                       |      560 |   16 |   91 |     1 |      12 |
| Chocolate Shake (Medium)                                      |      700 |   20 |  114 |     2 |      15 |
| Chocolate Shake (Large)                                       |      850 |   23 |  141 |     2 |      19 |
| Shamrock Shake (Medium)                                       |      660 |   19 |  109 |     0 |      14 |
| Shamrock Shake (Large)                                        |      820 |   23 |  135 |     0 |      18 |
| McFlurry with M&M’s Candies (Small)                           |      650 |   23 |   96 |     1 |      13 |
| McFlurry with M&M’s Candies (Medium)                          |      930 |   33 |  139 |     2 |      20 |
| McFlurry with M&M’s Candies (Snack)                           |      430 |   15 |   64 |     1 |       9 |
| McFlurry with Oreo Cookies (Small)                            |      510 |   17 |   80 |     1 |      12 |
| McFlurry with Oreo Cookies (Medium)                           |      690 |   23 |  106 |     1 |      15 |
| McFlurry with Oreo Cookies (Snack)                            |      340 |   11 |   53 |     1 |       8 |
| McFlurry with Reese's Peanut Butter Cups (Medium)             |      810 |   32 |  114 |     2 |      21 |
| McFlurry with Reese's Peanut Butter Cups (Snack)              |      410 |   16 |   57 |     1 |      10 |
+---------------------------------------------------------------+----------+------+------+-------+---------+
259 rows in set (0.00 sec)
